Systematic MC study (Euler–Maruyama)
batch,N,NSim,price,sd,se,exact,abs_err,rel_err,hit_origin
Batch1,50,5000,2.082180,4.412515,0.062402,2.133368,0.051189,0.023994,0
Batch1,50,50000,2.073873,4.435755,0.019837,2.133368,0.059495,0.027888,0
Batch1,50,500000,2.133826,4.511713,0.006381,2.133368,0.000458,0.000215,0
Batch1,500,5000,2.017295,4.556760,0.064442,2.133368,0.116073,0.054409,0
Batch1,500,50000,2.161052,4.575363,0.020462,2.133368,0.027684,0.012977,0
Batch1,500,500000,2.125295,4.513646,0.006383,2.133368,0.008073,0.003784,0
Batch1,5000,5000,2.204796,4.597774,0.065022,2.133368,0.071428,0.033481,0
Batch1,5000,50000,2.122101,4.487347,0.020068,2.133368,0.011267,0.005281,0
Batch1,5000,500000,2.141157,4.527336,0.006403,2.133368,0.007789,0.003651,0
Batch2,50,5000,7.871249,12.893769,0.182345,7.965567,0.094318,0.011841,0
Batch2,50,50000,7.810253,12.952873,0.057927,7.965567,0.155315,0.019498,0
Batch2,50,500000,7.976177,13.141553,0.018585,7.965567,0.010610,0.001332,0
Batch2,500,5000,7.596324,13.187419,0.186498,7.965567,0.369244,0.046355,0
Batch2,500,50000,8.043158,13.288426,0.059428,7.965567,0.077591,0.009741,0
Batch2,500,500000,7.941796,13.142053,0.018586,7.965567,0.023772,0.002984,0
Batch2,5000,5000,8.160360,13.358034,0.188911,7.965567,0.194792,0.024454,0
Batch2,5000,50000,7.926054,13.084970,0.058518,7.965567,0.039514,0.004961,0
Batch2,5000,500000,7.990312,13.178354,0.018637,7.965567,0.024745,0.003106,0
