asset_price,exercise_time,delta
50.0000,0.2000,0.0000
50.0000,0.2080,0.0000
50.0000,0.2160,0.0000
50.0000,0.2240,0.0000
50.0000,0.2320,0.0000
50.0000,0.2400,0.0000
50.0000,0.2480,0.0000
50.0000,0.2560,0.0000
50.0000,0.2640,0.0000
50.0000,0.2720,0.0000
50.0000,0.2800,0.0000
50.0000,0.2880,0.0000
50.0000,0.2960,0.0000
50.0000,0.3040,0.0000
50.0000,0.3120,0.0001
50.0000,0.3200,0.0001
50.0000,0.3280,0.0001
50.0000,0.3360,0.0001
50.0000,0.3440,0.0001
50.0000,0.3520,0.0002
50.0000,0.3600,0.0002
50.0000,0.3680,0.0002
50.0000,0.3760,0.0003
50.0000,0.3840,0.0003
50.0000,0.3920,0.0003
50.0000,0.4000,0.0004
50.0000,0.4080,0.0004
50.0000,0.4160,0.0005
50.0000,0.4240,0.0006
50.0000,0.4320,0.0006
50.0000,0.4400,0.0007
50.0000,0.4480,0.0008
50.0000,0.4560,0.0009
50.0000,0.4640,0.0010
50.0000,0.4720,0.0011
50.0000,0.4800,0.0012
50.0000,0.4880,0.0013
50.0000,0.4960,0.0015
50.0000,0.5040,0.0016
50.0000,0.5120,0.0017
50.0000,0.5200,0.0019
50.0000,0.5280,0.0021
50.0000,0.5360,0.0022
50.0000,0.5440,0.0024
50.0000,0.5520,0.0026
50.0000,0.5600,0.0028
50.0000,0.5680,0.0030
50.0000,0.5760,0.0032
50.0000,0.5840,0.0034
50.0000,0.6000,0.0039
52.0000,0.2000,0.0000
52.0000,0.2080,0.0000
52.0000,0.2160,0.0000
52.0000,0.2240,0.0000
52.0000,0.2320,0.0000
52.0000,0.2400,0.0000
52.0000,0.2480,0.0000
52.0000,0.2560,0.0000
52.0000,0.2640,0.0000
52.0000,0.2720,0.0000
52.0000,0.2800,0.0001
52.0000,0.2880,0.0001
52.0000,0.2960,0.0001
52.0000,0.3040,0.0001
52.0000,0.3120,0.0001
52.0000,0.3200,0.0002
52.0000,0.3280,0.0002
52.0000,0.3360,0.0002
52.0000,0.3440,0.0003
52.0000,0.3520,0.0003
52.0000,0.3600,0.0004
52.0000,0.3680,0.0004
52.0000,0.3760,0.0005
52.0000,0.3840,0.0006
52.0000,0.3920,0.0006
52.0000,0.4000,0.0007
52.0000,0.4080,0.0008
52.0000,0.4160,0.0009
52.0000,0.4240,0.0010
52.0000,0.4320,0.0012
52.0000,0.4400,0.0013
52.0000,0.4480,0.0014
52.0000,0.4560,0.0016
52.0000,0.4640,0.0017
52.0000,0.4720,0.0019
52.0000,0.4800,0.0021
52.0000,0.4880,0.0022
52.0000,0.4960,0.0024
52.0000,0.5040,0.0026
52.0000,0.5120,0.0029
52.0000,0.5200,0.0031
52.0000,0.5280,0.0033
52.0000,0.5360,0.0036
52.0000,0.5440,0.0038
52.0000,0.5520,0.0041
52.0000,0.5600,0.0044
52.0000,0.5680,0.0046
52.0000,0.5760,0.0049
52.0000,0.5840,0.0053
52.0000,0.6000,0.0059
54.0000,0.2000,0.0000
54.0000,0.2080,0.0000
54.0000,0.2160,0.0000
54.0000,0.2240,0.0000
54.0000,0.2320,0.0000
54.0000,0.2400,0.0000
54.0000,0.2480,0.0000
54.0000,0.2560,0.0001
54.0000,0.2640,0.0001
54.0000,0.2720,0.0001
54.0000,0.2800,0.0001
54.0000,0.2880,0.0001
54.0000,0.2960,0.0002
54.0000,0.3040,0.0002
54.0000,0.3120,0.0003
54.0000,0.3200,0.0003
54.0000,0.3280,0.0004
54.0000,0.3360,0.0004
54.0000,0.3440,0.0005
54.0000,0.3520,0.0006
54.0000,0.3600,0.0007
54.0000,0.3680,0.0008
54.0000,0.3760,0.0009
54.0000,0.3840,0.0010
54.0000,0.3920,0.0012
54.0000,0.4000,0.0013
54.0000,0.4080,0.0014
54.0000,0.4160,0.0016
54.0000,0.4240,0.0018
